FullName,Age,Gender,EmailAddress,Salary,StartDate,Department
jennifer miller,51.0,Male,abrown@navarro.info,,,eng.
Sean Nguyen III,,,martinezheather@yahoo.com,159325.46,2021-13-01,HR
,,male,aaronhopkins@mays.com,112875.24,05-12-2015,Engineering
Brian Cooper,56.0,FEMALE,anthonyclark@yahoo..com,9.5e4,2021-13-01,human resources
tina fields,,Male,garciabeverly@bennett.com,106502.59,32-01-2020, engineering 
paul carter,,F,callahancarolyn@yahoo.com,,,h.r
,24.0,male,wevans@wright.com, ,05-07-2024,Hr
jason chandler,29.0,Male,sharris@yahoo.com,147801.46,,engineering
Justin Watts,34.0,FEMALE,alopez@yahoo.com,,2019/09/22,engineering
Joseph Kelly,,M,sfischer@greer.org,69447.29,14-05-2023,MKT
randy fuller,29.0,,emccarthy@gregory.net, ,2020/04/09,human resources
Stephen Williams,58.0,fEmale,lfox@@hotmail.com,9.5e4,, engineering 
Heather Savage,,F,johnsonlaura@ferguson-wilson.com,191829.11,32-01-2020,product 
,,FEMALE,jenkinscynthia@figueroa-strong.com,192374.55,2023/01/12,eng.
Brenda Martinez,,FEMALE,dmorales@castro.com, ,32-01-2020,product
michael flores,49.0,fEmale,vevans@williams-howell.com,9.5e4,2021-13-01,marketing
,39.0,,parksjudy@foster.com, ,32-01-2020,Marketing
,51.0,M,ymoran@gmail.com,84814.14,17-02-2021,h.r
timothy hernandez,,M,jasonlopez@yahoo.com,9.5e4,14-02-2022,h.r
Daniel Gonzalez,32.0,Male,bullockarthur@@miller.com,125382.18,2021-13-01,Hr
Kayla Mitchell,28.0,Male,oellis@hotmail.com,9.5e4,2024/10/25,MKT
Katherine Padilla,46.0,fEmale,joseph00@bailey.com,9.5e4,,Engineering
tracy sanders,51.0,M,mlee@obrien.com,9.5e4,31-12-2020,mktg
Dawn B4yd,34.0,,christopher85@hood.com,9.5e4,32-01-2020,product
Gregory Marquez,47.0,fEmale,sarah10@simpson-kim.biz,,2023/05/05,HR
Brad Garcia,,,nhenson@salazar-meyers.net, ,32-01-2020,HR
daniel pittman,44.0,FEMALE,luis61@hotmail.com,,13-05-2020,ops
Paula Palmer,,,joseph01@hotmail.com,9.5e4,10-03-2017,ops
Dustin Fitzgerald,,M,htrevino@brewer-wilson.org,9.5e4,2019/05/31,product
connie decker,,Male,holmesemily@brooks.com,41140.81,32-01-2020,OPS
Kristen Murphy,,FEMALE,nataliemoore@dixon.com,56374.22,2025-03-12,product
Tracy Young,53.0,FEMALE,kathleengomez@anderson.org,,2024/06/18,HR
Eric Benjamin MD,,male,vlamb@payne-padilla.com, ,01-12-2019,human resources
samantha floyd,,F,clarkleslie@hotmail.com,9.5e4,32-01-2020,marketing
mary perez,35.0,,kevinkelly@hotmail.com, ,32-01-2020,Operations
,,Male,perezdesiree@nicholson.biz, ,2019/03/11,h.r
Hunter Thompson,,M,areyes@yahoo.com,,32-01-2020,mktg
Krystal Martinez,34.0,Male,aarontaylor@hotmail.com, ,,product 
Ryan Hoover,,,fryepaula@@french.com,,2017/04/09,OPS
Lisa Williams,35.0,M,cjohnson@yahoo.com,,,Marketing
judith romero,,male,zmorgan@blackburn-smith.net, ,32-01-2020, engineering 
Patricia Duncan,,fEmale,bryantjennifer@yahoo.com, ,2021-13-01,ops
Patrick Johnson,,F,kathrynblack@yahoo.com,9.5e4,,HR
Erin Schmitt,23.0,Male,francisco25@wilkins.com, ,2020-06-17,marketing
Erica Patton,42.0,male,aarontaylor@gmail..com, ,2021-04-25,engineering
tiffany castillo,35.0,Male,chadboyle@yahoo.com,144620.3,19-06-2018,Product
Mark Riley,,fEmale,sbaker@@gmail.com,9.5e4,32-01-2020,engineering
Kristen Branch,49.0,M,amoody@moore.org,9.5e4,2021/08/24,engineering
Kristina Jenkins,29.0,male,coxtina@frazier.com, ,2015/10/31,engineering
Dana Lopez,55.0,F,berryjoel@hotmail..com,9.5e4,, engineering 
carmen mclean,,Male,qshepard@yahoo.com,9.5e4,26-07-2021,Product
johnathan farmer,,FEMALE,xhughes@garrett.com,,32-01-2020,prdct
,,M,sanderssamantha@gmail.com,,,Engineering
Heather Jones,51.0,Male,bwilliams@long-martinez.com,,,OPS
Eric Brown,,fEmale,reneethornton@gallagher.com, ,12-12-2024,operations
Kevin Miller,,FEMALE,james45@erickson.info,,,engineering
mark thompson,,male,lisa13@gibbs.net,9.5e4,32-01-2020,Operations
justin stephens,29.0,fEmale,hesschristopher@yahoo..com,9.5e4,,OPS
James Cox,,male,loganjohnson@martinez.com, ,19-07-2022,OPS
Susan Burke,,,samantha16@alexander.org,89823.64,32-01-2020,h.r
